Country,Limiting Magnitude,Date,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Park
United States - Arizona,6,2010-03-14,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Arkansas,4,2010-03-05,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - California,6,2013-08-11,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Colorado,5,2015-03-17,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Connecticut,4,2010-03-08,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Florida,5,2015-01-08,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Georgia,4,2011-02-21,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Illinois,4,2013-05-06,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Indiana,5,2009-03-19,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Iowa,3,2010-03-04,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Kansas,3,2009-03-29,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Louisiana,3,2012-02-21,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Maine,5,2013-01-31,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Maryland,4,2009-03-25,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Massachusetts,5,2014-11-20,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Michigan,5,2012-02-16,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Minnesota,-9999,2008-03-08,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Missouri,4,2011-03-01,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Nevada,4,2007-03-21,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - New Hampshire,4,2011-02-22,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - New Jersey,4,2009-03-25,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - New Mexico,4,2007-03-12,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - New York,5,2013-03-08,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - North Carolina,5,2010-03-05,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Ohio,4,2010-03-13,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Oklahoma,5,2009-03-25,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Oregon,4,2016-03-07,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Pennsylvania,5,2009-03-24,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - South Carolina,4,2013-03-06,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Tennessee,3,2007-03-07,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Texas,6,2012-02-21,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Utah,2,2009-03-29,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Virginia,5,2013-01-07,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Washington,3,2009-03-24,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Wisconsin,4,2013-03-06,32.2251,-110.99600000000001,32.2967,-111.167,Saguaro National Park
United States - Arizona,6,2016-07-27,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Arkansas,3,2014-02-23,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - California,6,2017-07-18,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Colorado,5,2006-03-30,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Connecticut,4,2016-01-07,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Florida,5,2017-02-25,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Georgia,4,2013-02-09,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Illinois,4,2016-03-03,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Indiana,5,2018-06-06,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Iowa,2,2006-03-22,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Kansas,3,2009-03-29,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
United States - Louisiana,2,2015-10-10,36.0717,-112.2,36.107,-112.113,Grand Canyon National Park
